,Rs.200/month,Rs.100/month,
14-Jan,100%,100%,Jan-14
14-Feb,100%,86%,Feb-14
14-Mar,95%,80%,Mar-14
14-Apr,83%,91%,Apr-14
14-May,75%,93%,May-14
14-Jun,51%,88%,Jun-14
14-Jul,45%,90%,Jul-14
14-Aug,44%,90%,Aug-14
14-Sep,39%,83%,Sep-14
14-Oct,51%,78%,Oct-14
14-Nov,46%,81%,Nov-14
14-Dec,49%,73%,Dec-14
15-Jan,52%,69%,Jan-15
15-Feb,61%,63%,Feb-15
15-Mar,54%,65%,Mar-15
15-Apr,46%,59%,Apr-15
15-May,42%,55%,May-15
15-Jun,38%,56%,Jun-15
15-Jul,25%,54%,Jul-15
15-Aug,27%,46%,Aug-15
15-Sep,24%,51%,Sep-15
15-Oct,26%,50%,Oct-15
15-Nov,20%,44%,Nov-15
15-Dec,20%,42%,Dec-15
16-Jan,18%,44%,Jan-16
16-Feb,16%,39%,Feb-16
16-Mar,13%,39%,Mar-16
16-Apr,7%,39%,Apr-16
